,Origen,Destino,Remitir paquete a,Peso
0,46,64,94,16
1,46,100,94,19
2,46,94,94,9
3,46,22,21,17
4,46,19,94,24
5,46,23,21,25
6,46,32,21,25
7,46,54,94,17
8,46,82,21,39
9,46,20,21,32
10,46,104,94,26
11,46,65,94,32
12,46,36,94,19
13,46,105,94,44
14,46,42,80,14
15,46,63,21,29
16,46,77,21,51
17,46,112,21,28
18,46,103,21,12
19,46,18,94,37
20,46,110,94,30
21,46,25,21,31
22,46,24,21,24
23,46,37,21,32
24,46,33,94,27
25,46,85,94,36
26,46,74,21,18
27,46,55,40,47
28,46,91,94,15
29,46,45,21,37
30,46,21,21,2
31,46,60,94,31
32,46,96,94,22
33,46,51,21,42
34,46,29,94,33
35,46,75,94,37
36,46,34,94,50
37,46,57,94,15
38,46,88,94,30
39,46,48,67,3
40,46,95,21,12
41,46,47,21,45
42,46,70,94,49
43,46,72,67,13
44,46,73,94,24
45,46,98,21,34
46,46,62,40,19
47,46,102,94,41
48,46,59,21,65
49,46,81,21,30
50,46,106,21,16
51,46,76,21,35
52,46,79,21,55
53,46,27,21,17
54,46,99,94,12
55,46,41,21,2
56,46,49,67,17
57,46,90,40,19
58,46,101,21,7
59,46,26,40,11
60,46,86,40,30
61,46,61,21,43
62,46,28,94,11
63,46,80,80,9
64,46,52,21,29
65,46,16,67,9
66,46,83,80,21
67,46,108,94,50
68,46,35,40,5
69,46,43,94,40
70,46,93,40,41
71,46,44,21,20
72,46,17,21,14
73,46,38,21,8
74,46,67,67,0
75,46,40,40,4
76,46,115,94,22
77,46,113,94,40
78,46,68,21,44
79,46,87,94,21
80,46,84,21,21
81,46,31,94,27
82,46,30,94,23
83,46,97,94,29
84,46,111,94,51
85,46,39,94,36
86,46,114,21,37
87,46,92,94,33
88,46,53,21,37
89,46,69,40,20
90,46,109,21,16
91,46,50,94,57
92,46,15,80,16
93,46,56,21,30
94,46,71,21,23
95,46,107,94,39
96,46,58,94,45
97,46,66,21,35
98,46,78,80,18
99,46,89,94,38
