,Origen,Destino,Remitir paquete a,Peso
0,51,63,20,4
1,51,64,20,4
2,51,22,20,8
3,51,41,20,7
4,51,42,20,22
5,51,62,20,16
6,51,39,20,16
7,51,44,20,33
8,51,40,17,11
9,51,26,20,16
10,51,48,20,36
11,51,52,20,23
12,51,31,20,24
13,51,49,20,14
14,51,21,20,13
15,51,20,20,3
16,51,18,36,20
17,51,34,20,18
18,51,32,20,31
19,51,19,20,25
20,51,37,20,4
21,51,23,20,14
22,51,29,20,12
23,51,15,20,11
24,51,58,20,16
25,51,28,20,18
26,51,46,20,10
27,51,55,20,20
28,51,25,36,10
29,51,35,20,36
30,51,65,20,29
31,51,30,20,9
32,51,36,36,10
33,51,38,20,29
34,51,33,20,17
35,51,60,20,16
36,51,45,20,12
37,51,61,20,47
38,51,16,20,31
39,51,57,20,20
40,51,43,20,29
41,51,27,20,14
42,51,56,20,17
43,51,53,20,18
44,51,24,20,31
45,51,17,17,1
46,51,50,20,24
47,51,54,20,29
48,51,59,20,26
49,51,47,17,15
