,Origen,Destino,Remitir paquete a,Peso
0,51,63,20,8
1,51,64,20,8
2,51,22,20,9
3,51,41,20,11
4,51,42,20,15
5,51,62,20,20
6,51,39,20,17
7,51,44,20,53
8,51,40,17,12
9,51,26,20,12
10,51,48,20,30
11,51,52,20,18
12,51,31,20,29
13,51,49,20,18
14,51,21,20,12
15,51,20,20,2
16,51,18,36,40
17,51,34,20,22
18,51,32,20,25
19,51,19,20,14
20,51,37,20,3
21,51,23,20,19
22,51,29,20,11
23,51,15,20,10
24,51,58,20,15
25,51,28,20,22
26,51,46,20,15
27,51,55,20,32
28,51,25,36,29
29,51,35,20,40
30,51,65,20,48
31,51,30,20,13
32,51,36,36,15
33,51,38,20,34
34,51,33,20,13
35,51,60,20,15
36,51,45,20,15
37,51,61,20,66
38,51,16,20,43
39,51,57,20,32
40,51,43,20,19
41,51,27,20,11
42,51,56,20,16
43,51,53,20,15
44,51,24,20,30
45,51,17,17,5
46,51,50,20,41
47,51,54,20,26
48,51,59,20,25
49,51,47,17,19
