,Origen,Destino,Remitir paquete a,Peso
0,21,57,53,32
1,21,17,53,31
2,21,47,20,30
3,21,33,20,24
4,21,34,20,21
5,21,39,53,20
6,21,31,20,30
7,21,16,20,32
8,21,51,20,20
9,21,32,53,25
10,21,49,53,33
11,21,62,53,44
12,21,45,20,18
13,21,24,20,22
14,21,42,20,28
15,21,54,53,24
16,21,60,53,24
17,21,35,53,16
18,21,52,53,20
19,21,59,53,19
20,21,53,53,10
21,21,36,53,20
22,21,50,20,17
23,21,26,20,27
24,21,56,20,20
25,21,19,20,25
26,21,28,53,22
27,21,61,53,40
28,21,58,53,27
29,21,63,53,34
30,21,20,20,15
31,21,38,53,33
32,21,41,20,40
33,21,37,53,24
34,21,18,53,34
35,21,40,20,32
36,21,44,20,27
37,21,55,20,33
38,21,65,20,18
39,21,27,53,19
40,21,46,20,25
41,21,15,53,27
42,21,22,20,23
43,21,25,20,31
44,21,48,20,24
45,21,23,53,37
46,21,29,20,26
47,21,30,20,42
48,21,64,53,37
49,21,43,53,35
