,Origen,Destino,Remitir paquete a,Peso
0,76,70,20,19
1,76,104,20,16
2,76,46,20,30
3,76,18,73,12
4,76,24,20,27
5,76,89,20,27
6,76,99,73,23
7,76,37,73,40
8,76,42,20,23
9,76,50,20,27
10,76,48,73,15
11,76,29,73,17
12,76,66,73,21
13,76,20,20,11
14,76,97,20,13
15,76,47,20,39
16,76,26,73,28
17,76,102,102,6
18,76,58,102,44
19,76,94,73,23
20,76,17,73,21
21,76,16,73,45
22,76,88,20,27
23,76,68,102,21
24,76,45,73,28
25,76,112,20,38
26,76,113,73,29
27,76,44,102,20
28,76,75,102,36
29,76,69,102,17
30,76,105,73,29
31,76,81,20,33
32,76,106,73,22
33,76,86,73,21
34,76,114,20,21
35,76,60,73,16
36,76,100,20,40
37,76,67,102,30
38,76,53,73,21
39,76,38,20,24
40,76,54,20,18
41,76,92,73,25
42,76,55,102,18
43,76,34,20,33
44,76,74,73,30
45,76,91,20,52
46,76,39,20,41
47,76,52,73,31
48,76,79,73,29
49,76,101,20,28
50,76,56,73,8
51,76,103,20,23
52,76,62,20,12
53,76,35,102,32
54,76,73,73,5
55,76,22,73,16
56,76,33,73,28
57,76,40,20,20
58,76,115,20,54
59,76,28,73,24
60,76,23,102,52
61,76,32,73,25
62,76,51,20,33
63,76,111,73,11
64,76,36,73,39
65,76,59,20,23
66,76,31,102,30
67,76,83,73,34
68,76,43,20,45
69,76,25,102,35
70,76,109,73,38
71,76,72,20,40
72,76,41,102,11
73,76,108,20,29
74,76,84,20,42
75,76,15,102,23
76,76,107,20,34
77,76,61,102,36
78,76,80,73,23
79,76,71,73,32
80,76,78,20,46
81,76,85,20,14
82,76,63,20,49
83,76,110,102,18
84,76,65,102,20
85,76,93,73,29
86,76,77,20,42
87,76,64,20,50
88,76,27,102,17
89,76,95,73,30
90,76,30,73,41
91,76,90,20,21
92,76,87,73,22
93,76,57,73,15
94,76,21,21,1
95,76,82,102,24
96,76,49,20,53
97,76,98,102,21
98,76,19,73,29
99,76,96,102,8
