,Origen,Destino,Remitir paquete a,Peso
0,76,70,20,20
1,76,104,20,9
2,76,46,20,23
3,76,18,73,15
4,76,24,20,35
5,76,89,20,28
6,76,99,73,18
7,76,37,73,45
8,76,42,20,24
9,76,50,20,9
10,76,48,73,17
11,76,29,73,25
12,76,66,73,23
13,76,20,20,7
14,76,97,20,9
15,76,47,20,35
16,76,26,73,27
17,76,102,102,6
18,76,58,102,44
19,76,94,73,26
20,76,17,73,23
21,76,16,73,50
22,76,88,20,28
23,76,68,102,21
24,76,45,73,31
25,76,112,20,34
26,76,113,73,24
27,76,44,102,20
28,76,75,102,36
29,76,69,102,12
30,76,105,73,35
31,76,81,20,20
32,76,106,73,24
33,76,86,73,21
34,76,114,20,32
35,76,60,73,19
36,76,100,20,48
37,76,67,102,30
38,76,53,73,21
39,76,38,20,20
40,76,54,20,11
41,76,92,73,33
42,76,55,102,16
43,76,34,20,21
44,76,74,73,25
45,76,91,20,38
46,76,39,20,12
47,76,52,73,33
48,76,79,73,41
49,76,101,20,10
50,76,56,73,13
51,76,103,20,39
52,76,62,20,8
53,76,35,102,32
54,76,73,73,5
55,76,22,73,26
56,76,33,73,38
57,76,40,20,15
58,76,115,20,44
59,76,28,73,27
60,76,23,102,52
61,76,32,73,33
62,76,51,20,15
63,76,111,73,11
64,76,36,73,47
65,76,59,20,11
66,76,31,102,34
67,76,83,73,37
68,76,43,20,53
69,76,25,102,35
70,76,109,73,38
71,76,72,20,22
72,76,41,102,6
73,76,108,20,25
74,76,84,20,42
75,76,15,102,21
76,76,107,20,42
77,76,61,102,36
78,76,80,73,23
79,76,71,73,34
80,76,78,20,33
81,76,85,20,18
82,76,63,20,45
83,76,110,102,16
84,76,65,102,20
85,76,93,73,37
86,76,77,20,35
87,76,64,20,58
88,76,27,102,12
89,76,95,73,30
90,76,30,73,51
91,76,90,20,14
92,76,87,73,24
93,76,57,73,15
94,76,21,21,1
95,76,82,102,21
96,76,49,20,24
97,76,98,102,24
98,76,19,73,29
99,76,96,102,8
