,Origen,Destino,Remitir paquete a,Peso
0,38,17,26,24
1,38,64,26,32
2,38,79,26,22
3,38,19,26,47
4,38,101,26,17
5,38,37,26,26
6,38,20,26,7
7,38,100,26,52
8,38,93,26,50
9,38,115,26,18
10,38,21,26,8
11,38,52,26,24
12,38,45,26,31
13,38,94,26,28
14,38,56,26,39
15,38,83,26,47
16,38,40,26,54
17,38,81,103,24
18,38,91,26,29
19,38,102,26,41
20,38,42,26,41
21,38,112,26,34
22,38,99,26,44
23,38,69,26,31
24,38,82,26,19
25,38,47,26,43
26,38,106,26,49
27,38,57,103,21
28,38,107,26,40
29,38,24,26,41
30,38,75,26,29
31,38,108,26,24
32,38,67,26,40
33,38,72,26,49
34,38,87,26,25
35,38,41,26,31
36,38,23,26,29
37,38,68,26,28
38,38,61,26,44
39,38,55,26,43
40,38,18,103,16
41,38,35,103,27
42,38,51,26,38
43,38,96,26,27
44,38,104,26,19
45,38,88,26,49
46,38,25,26,23
47,38,114,26,53
48,38,77,26,31
49,38,80,26,35
50,38,39,26,24
51,38,103,103,12
52,38,65,26,54
53,38,97,26,27
54,38,89,26,58
55,38,85,26,48
56,38,49,32,40
57,38,44,26,53
58,38,78,103,17
59,38,33,26,18
60,38,30,26,61
61,38,70,26,14
62,38,71,26,41
63,38,46,26,56
64,38,63,26,19
65,38,58,26,27
66,38,76,26,38
67,38,113,26,39
68,38,73,32,29
69,38,16,26,51
70,38,32,32,14
71,38,27,26,27
72,38,105,26,33
73,38,62,26,38
74,38,53,26,38
75,38,22,26,52
76,38,34,26,42
77,38,15,26,33
78,38,111,26,29
79,38,50,26,21
80,38,86,26,52
81,38,28,26,63
82,38,92,32,49
83,38,110,26,44
84,38,60,26,28
85,38,74,26,49
86,38,48,26,48
87,38,98,26,33
88,38,29,26,43
89,38,84,26,57
90,38,109,26,26
91,38,59,26,45
92,38,26,26,2
93,38,43,26,43
94,38,90,26,34
95,38,36,26,39
96,38,66,26,48
97,38,54,26,45
98,38,95,26,33
99,38,31,103,31
