,Origen,Destino,Remitir paquete a,Peso
0,46,64,94,15
1,46,100,94,18
2,46,94,94,8
3,46,22,21,17
4,46,19,94,23
5,46,23,21,25
6,46,32,21,19
7,46,54,94,19
8,46,82,21,26
9,46,20,21,28
10,46,104,94,32
11,46,65,94,24
12,46,36,94,15
13,46,105,94,39
14,46,42,80,18
15,46,63,21,37
16,46,77,21,46
17,46,112,21,18
18,46,103,21,24
19,46,18,94,32
20,46,110,94,20
21,46,25,21,26
22,46,24,21,17
23,46,37,21,21
24,46,33,94,25
25,46,85,94,25
26,46,74,21,18
27,46,55,40,39
28,46,91,94,10
29,46,45,21,18
30,46,21,21,2
31,46,60,94,37
32,46,96,94,21
33,46,51,21,38
34,46,29,94,27
35,46,75,94,30
36,46,34,94,36
37,46,57,94,18
38,46,88,94,28
39,46,48,67,18
40,46,95,21,10
41,46,47,21,41
42,46,70,94,38
43,46,72,67,16
44,46,73,94,19
45,46,98,21,49
46,46,62,40,23
47,46,102,94,29
48,46,59,21,35
49,46,81,21,23
50,46,106,21,13
51,46,76,21,31
52,46,79,21,33
53,46,27,21,13
54,46,99,94,21
55,46,41,21,9
56,46,49,67,21
57,46,90,40,13
58,46,101,21,10
59,46,26,40,12
60,46,86,40,26
61,46,61,21,21
62,46,28,94,17
63,46,80,80,14
64,46,52,21,27
65,46,16,67,17
66,46,83,80,17
67,46,108,94,45
68,46,35,40,25
69,46,43,94,40
70,46,93,40,28
71,46,44,21,22
72,46,17,21,18
73,46,38,21,13
74,46,67,67,14
75,46,40,40,10
76,46,115,94,14
77,46,113,94,35
78,46,68,21,33
79,46,87,94,23
80,46,84,21,19
81,46,31,94,23
82,46,30,94,35
83,46,97,94,36
84,46,111,94,45
85,46,39,94,34
86,46,114,21,19
87,46,92,94,40
88,46,53,21,37
89,46,69,40,28
90,46,109,21,33
91,46,50,94,45
92,46,15,80,29
93,46,56,21,21
94,46,71,21,20
95,46,107,94,25
96,46,58,94,32
97,46,66,21,28
98,46,78,80,22
99,46,89,94,35
