,Origen,Destino,Remitir paquete a,Peso
0,46,64,94,11
1,46,100,94,23
2,46,94,94,11
3,46,22,21,33
4,46,19,94,24
5,46,23,21,37
6,46,32,21,45
7,46,54,94,22
8,46,82,21,58
9,46,20,21,46
10,46,104,94,39
11,46,65,94,22
12,46,36,94,18
13,46,105,94,29
14,46,42,80,15
15,46,63,21,51
16,46,77,21,71
17,46,112,21,40
18,46,103,21,46
19,46,18,94,25
20,46,110,94,11
21,46,25,21,35
22,46,24,21,40
23,46,37,21,38
24,46,33,94,23
25,46,85,94,13
26,46,74,21,36
27,46,55,40,29
28,46,91,94,22
29,46,45,21,43
30,46,21,21,9
31,46,60,94,37
32,46,96,94,27
33,46,51,21,68
34,46,29,94,30
35,46,75,94,34
36,46,34,94,42
37,46,57,94,15
38,46,88,94,28
39,46,48,67,23
40,46,95,21,32
41,46,47,21,56
42,46,70,94,24
43,46,72,67,11
44,46,73,94,28
45,46,98,21,65
46,46,62,40,11
47,46,102,94,27
48,46,59,21,65
49,46,81,21,60
50,46,106,21,42
51,46,76,21,41
52,46,79,21,61
53,46,27,21,28
54,46,99,94,34
55,46,41,21,23
56,46,49,67,37
57,46,90,40,12
58,46,101,21,26
59,46,26,40,9
60,46,86,40,15
61,46,61,21,49
62,46,28,94,19
63,46,80,80,2
64,46,52,21,42
65,46,16,67,22
66,46,83,80,9
67,46,108,94,39
68,46,35,40,20
69,46,43,94,23
70,46,93,40,26
71,46,44,21,40
72,46,17,21,34
73,46,38,21,35
74,46,67,67,10
75,46,40,40,7
76,46,115,94,20
77,46,113,94,49
78,46,68,21,42
79,46,87,94,34
80,46,84,21,32
81,46,31,94,21
82,46,30,94,30
83,46,97,94,30
84,46,111,94,63
85,46,39,94,24
86,46,114,21,53
87,46,92,94,34
88,46,53,21,53
89,46,69,40,30
90,46,109,21,39
91,46,50,94,32
92,46,15,80,2
93,46,56,21,59
94,46,71,21,46
95,46,107,94,39
96,46,58,94,48
97,46,66,21,54
98,46,78,80,5
99,46,89,94,37
