,Origen,Destino,Remitir paquete a,Peso
0,21,57,53,46
1,21,17,53,35
2,21,47,20,47
3,21,33,20,33
4,21,34,20,38
5,21,39,53,24
6,21,31,20,46
7,21,16,20,50
8,21,51,20,39
9,21,32,53,30
10,21,49,53,30
11,21,62,53,35
12,21,45,20,27
13,21,24,20,53
14,21,42,20,44
15,21,54,53,24
16,21,60,53,29
17,21,35,53,23
18,21,52,53,33
19,21,59,53,24
20,21,53,53,10
21,21,36,53,30
22,21,50,20,15
23,21,26,20,37
24,21,56,20,30
25,21,19,20,35
26,21,28,53,39
27,21,61,53,60
28,21,58,53,38
29,21,63,53,38
30,21,20,20,11
31,21,38,53,51
32,21,41,20,51
33,21,37,53,23
34,21,18,53,49
35,21,40,20,34
36,21,44,20,50
37,21,55,20,29
38,21,65,20,21
39,21,27,53,11
40,21,46,20,22
41,21,15,53,24
42,21,22,20,21
43,21,25,20,20
44,21,48,20,37
45,21,23,53,48
46,21,29,20,46
47,21,30,20,48
48,21,64,53,28
49,21,43,53,36
