,Origen,Destino,Remitir paquete a,Peso
0,46,64,94,19
1,46,100,94,22
2,46,94,94,10
3,46,22,21,35
4,46,19,94,25
5,46,23,21,35
6,46,32,21,49
7,46,54,94,26
8,46,82,21,63
9,46,20,21,52
10,46,104,94,39
11,46,65,94,31
12,46,36,94,17
13,46,105,94,36
14,46,42,80,18
15,46,63,21,44
16,46,77,21,57
17,46,112,21,42
18,46,103,21,26
19,46,18,94,50
20,46,110,94,29
21,46,25,21,41
22,46,24,21,30
23,46,37,21,37
24,46,33,94,23
25,46,85,94,35
26,46,74,21,38
27,46,55,40,57
28,46,91,94,18
29,46,45,21,31
30,46,21,21,2
31,46,60,94,45
32,46,96,94,22
33,46,51,21,50
34,46,29,94,34
35,46,75,94,25
36,46,34,94,37
37,46,57,94,22
38,46,88,94,22
39,46,48,67,15
40,46,95,21,21
41,46,47,21,69
42,46,70,94,49
43,46,72,67,25
44,46,73,94,24
45,46,98,21,51
46,46,62,40,29
47,46,102,94,30
48,46,59,21,66
49,46,81,21,50
50,46,106,21,28
51,46,76,21,49
52,46,79,21,64
53,46,27,21,26
54,46,99,94,29
55,46,41,21,17
56,46,49,67,29
57,46,90,40,23
58,46,101,21,28
59,46,26,40,22
60,46,86,40,41
61,46,61,21,52
62,46,28,94,23
63,46,80,80,8
64,46,52,21,27
65,46,16,67,27
66,46,83,80,18
67,46,108,94,56
68,46,35,40,22
69,46,43,94,49
70,46,93,40,46
71,46,44,21,24
72,46,17,21,35
73,46,38,21,20
74,46,67,67,12
75,46,40,40,7
76,46,115,94,14
77,46,113,94,27
78,46,68,21,49
79,46,87,94,27
80,46,84,21,30
81,46,31,94,34
82,46,30,94,32
83,46,97,94,38
84,46,111,94,36
85,46,39,94,37
86,46,114,21,32
87,46,92,94,40
88,46,53,21,56
89,46,69,40,37
90,46,109,21,44
91,46,50,94,42
92,46,15,80,13
93,46,56,21,62
94,46,71,21,43
95,46,107,94,37
96,46,58,94,29
97,46,66,21,52
98,46,78,80,20
99,46,89,94,31
