,Origen,Destino,Remitir paquete a,Peso
0,51,63,20,11
1,51,64,20,24
2,51,22,20,33
3,51,41,20,33
4,51,42,20,37
5,51,62,20,34
6,51,39,20,45
7,51,44,20,58
8,51,40,17,25
9,51,26,20,33
10,51,48,20,42
11,51,52,20,33
12,51,31,20,18
13,51,49,20,30
14,51,21,20,50
15,51,20,20,11
16,51,18,36,21
17,51,34,20,31
18,51,32,20,20
19,51,19,20,52
20,51,37,20,20
21,51,23,20,38
22,51,29,20,38
23,51,15,20,33
24,51,58,20,17
25,51,28,20,18
26,51,46,20,25
27,51,55,20,52
28,51,25,36,11
29,51,35,20,22
30,51,65,20,52
31,51,30,20,34
32,51,36,36,1
33,51,38,20,46
34,51,33,20,33
35,51,60,20,55
36,51,45,20,25
37,51,61,20,71
38,51,16,20,43
39,51,57,20,38
40,51,43,20,42
41,51,27,20,24
42,51,56,20,52
43,51,53,20,35
44,51,24,20,17
45,51,17,17,14
46,51,50,20,55
47,51,54,20,55
48,51,59,20,64
49,51,47,17,27
