,Origen,Destino,Remitir paquete a,Peso
0,78,80,112,32
1,78,98,112,19
2,78,40,112,15
3,78,107,112,21
4,78,92,112,25
5,78,33,112,37
6,78,103,112,19
7,78,83,112,30
8,78,30,112,17
9,78,112,112,8
10,78,26,112,14
11,78,42,112,26
12,78,64,112,44
13,78,84,112,38
14,78,105,112,33
15,78,88,112,39
16,78,18,112,30
17,78,52,112,44
18,78,51,112,18
19,78,108,112,32
20,78,86,112,22
21,78,110,112,26
22,78,93,112,38
23,78,60,112,29
24,78,62,112,44
25,78,90,112,53
26,78,82,112,47
27,78,109,112,34
28,78,72,112,12
29,78,31,112,31
30,78,49,112,22
31,78,56,112,34
32,78,81,112,36
33,78,44,112,24
34,78,21,112,29
35,78,35,112,15
36,78,39,112,20
37,78,115,112,17
38,78,58,112,24
39,78,63,112,25
40,78,114,112,24
41,78,97,112,16
42,78,99,112,30
43,78,59,112,38
44,78,104,112,31
45,78,48,112,34
46,78,102,112,48
47,78,24,112,39
48,78,22,112,12
49,78,32,112,43
50,78,34,112,36
51,78,69,112,31
52,78,16,112,37
53,78,57,112,32
54,78,73,112,34
55,78,54,112,33
56,78,19,112,21
57,78,28,112,29
58,78,101,112,24
59,78,87,112,41
60,78,27,112,38
61,78,77,112,32
62,78,111,112,32
63,78,96,112,48
64,78,71,112,56
65,78,53,112,14
66,78,45,112,30
67,78,61,112,37
68,78,25,112,26
69,78,65,112,28
70,78,50,112,33
71,78,91,112,48
72,78,106,112,31
73,78,41,112,25
74,78,15,112,49
75,78,37,112,43
76,78,29,112,32
77,78,75,112,19
78,78,70,112,27
79,78,113,112,15
80,78,47,112,35
81,78,36,112,33
82,78,74,112,45
83,78,89,112,16
84,78,100,112,20
85,78,20,112,23
86,78,46,112,20
87,78,79,112,29
88,78,67,112,10
89,78,94,112,34
90,78,95,112,23
91,78,85,112,32
92,78,43,112,54
93,78,23,112,49
94,78,68,112,22
95,78,17,112,26
96,78,76,112,36
97,78,55,112,27
98,78,66,112,45
99,78,38,112,26
