,Origen,Destino,Remitir paquete a,Peso
0,46,64,94,24
1,46,100,94,29
2,46,94,94,9
3,46,22,21,27
4,46,19,94,11
5,46,23,21,34
6,46,32,21,50
7,46,54,94,25
8,46,82,21,53
9,46,20,21,57
10,46,104,94,19
11,46,65,94,26
12,46,36,94,19
13,46,105,94,38
14,46,42,80,20
15,46,63,21,49
16,46,77,21,69
17,46,112,21,40
18,46,103,21,31
19,46,18,94,50
20,46,110,94,39
21,46,25,21,41
22,46,24,21,34
23,46,37,21,42
24,46,33,94,35
25,46,85,94,45
26,46,74,21,37
27,46,55,40,42
28,46,91,94,12
29,46,45,21,45
30,46,21,21,12
31,46,60,94,32
32,46,96,94,23
33,46,51,21,56
34,46,29,94,27
35,46,75,94,30
36,46,34,94,49
37,46,57,94,15
38,46,88,94,40
39,46,48,67,3
40,46,95,21,22
41,46,47,21,70
42,46,70,94,60
43,46,72,67,13
44,46,73,94,17
45,46,98,21,49
46,46,62,40,21
47,46,102,94,40
48,46,59,21,76
49,46,81,21,49
50,46,106,21,26
51,46,76,21,40
52,46,79,21,70
53,46,27,21,27
54,46,99,94,12
55,46,41,21,12
56,46,49,67,3
57,46,90,40,14
58,46,101,21,26
59,46,26,40,13
60,46,86,40,25
61,46,61,21,55
62,46,28,94,11
63,46,80,80,12
64,46,52,21,39
65,46,16,67,7
66,46,83,80,24
67,46,108,94,64
68,46,35,40,5
69,46,43,94,48
70,46,93,40,36
71,46,44,21,30
72,46,17,21,33
73,46,38,21,15
74,46,67,67,0
75,46,40,40,4
76,46,115,94,15
77,46,113,94,39
78,46,68,21,54
79,46,87,94,30
80,46,84,21,31
81,46,31,94,16
82,46,30,94,24
83,46,97,94,11
84,46,111,94,45
85,46,39,94,21
86,46,114,21,43
87,46,92,94,21
88,46,53,21,62
89,46,69,40,16
90,46,109,21,35
91,46,50,94,41
92,46,15,80,24
93,46,56,21,65
94,46,71,21,42
95,46,107,94,32
96,46,58,94,38
97,46,66,21,47
98,46,78,80,17
99,46,89,94,31
