,Origen,Destino,Remitir paquete a,Peso
0,76,70,20,7
1,76,104,20,2
2,76,46,20,17
3,76,18,73,24
4,76,24,20,20
5,76,89,20,10
6,76,99,73,14
7,76,37,73,27
8,76,42,20,17
9,76,50,20,2
10,76,48,73,18
11,76,29,73,35
12,76,66,73,31
13,76,20,20,1
14,76,97,20,11
15,76,47,20,39
16,76,26,73,19
17,76,102,102,15
18,76,58,102,54
19,76,94,73,37
20,76,17,73,31
21,76,16,73,28
22,76,88,20,16
23,76,68,102,27
24,76,45,73,44
25,76,112,20,25
26,76,113,73,28
27,76,44,102,27
28,76,75,102,45
29,76,69,102,27
30,76,105,73,44
31,76,81,20,6
32,76,106,73,21
33,76,86,73,23
34,76,114,20,21
35,76,60,73,33
36,76,100,20,28
37,76,67,102,39
38,76,53,73,26
39,76,38,20,13
40,76,54,20,12
41,76,92,73,39
42,76,55,102,28
43,76,34,20,18
44,76,74,73,27
45,76,91,20,26
46,76,39,20,6
47,76,52,73,36
48,76,79,73,47
49,76,101,20,5
50,76,56,73,10
51,76,103,20,21
52,76,62,20,10
53,76,35,102,40
54,76,73,73,3
55,76,22,73,24
56,76,33,73,46
57,76,40,20,15
58,76,115,20,30
59,76,28,73,47
60,76,23,102,55
61,76,32,73,41
62,76,51,20,16
63,76,111,73,11
64,76,36,73,49
65,76,59,20,5
66,76,31,102,49
67,76,83,73,58
68,76,43,20,36
69,76,25,102,43
70,76,109,73,36
71,76,72,20,15
72,76,41,102,15
73,76,108,20,24
74,76,84,20,30
75,76,15,102,32
76,76,107,20,34
77,76,61,102,43
78,76,80,73,28
79,76,71,73,41
80,76,78,20,7
81,76,85,20,13
82,76,63,20,51
83,76,110,102,31
84,76,65,102,28
85,76,93,73,41
86,76,77,20,27
87,76,64,20,37
88,76,27,102,35
89,76,95,73,17
90,76,30,73,50
91,76,90,20,19
92,76,87,73,41
93,76,57,73,13
94,76,21,21,2
95,76,82,102,36
96,76,49,20,7
97,76,98,102,29
98,76,19,73,26
99,76,96,102,24
