,Origen,Destino,Remitir paquete a,Peso
0,51,63,20,14
1,51,64,20,14
2,51,22,20,21
3,51,41,20,17
4,51,42,20,17
5,51,62,20,26
6,51,39,20,26
7,51,44,20,51
8,51,40,17,3
9,51,26,20,26
10,51,48,20,49
11,51,52,20,36
12,51,31,20,35
13,51,49,20,24
14,51,21,20,23
15,51,20,20,13
16,51,18,36,42
17,51,34,20,28
18,51,32,20,33
19,51,19,20,35
20,51,37,20,14
21,51,23,20,26
22,51,29,20,22
23,51,15,20,21
24,51,58,20,26
25,51,28,20,28
26,51,46,20,26
27,51,55,20,41
28,51,25,36,29
29,51,35,20,43
30,51,65,20,52
31,51,30,20,19
32,51,36,36,15
33,51,38,20,41
34,51,33,20,27
35,51,60,20,26
36,51,45,20,22
37,51,61,20,64
38,51,16,20,49
39,51,57,20,38
40,51,43,20,38
41,51,27,20,22
42,51,56,20,27
43,51,53,20,26
44,51,24,20,41
45,51,17,17,1
46,51,50,20,50
47,51,54,20,37
48,51,59,20,36
49,51,47,17,15
