,Origen,Destino,Remitir paquete a,Peso
0,78,80,112,32
1,78,98,112,19
2,78,40,112,15
3,78,107,112,33
4,78,92,112,25
5,78,33,112,49
6,78,103,112,27
7,78,83,112,31
8,78,30,112,15
9,78,112,112,8
10,78,26,112,27
11,78,42,112,45
12,78,64,112,56
13,78,84,112,50
14,78,105,112,33
15,78,88,112,42
16,78,18,112,42
17,78,52,112,47
18,78,51,112,52
19,78,108,112,44
20,78,86,112,31
21,78,110,112,28
22,78,93,112,39
23,78,60,112,27
24,78,62,112,47
25,78,90,112,65
26,78,82,112,49
27,78,109,112,46
28,78,72,112,23
29,78,31,112,33
30,78,49,112,44
31,78,56,112,58
32,78,81,112,39
33,78,44,112,62
34,78,21,112,30
35,78,35,112,28
36,78,39,112,33
37,78,115,112,39
38,78,58,112,29
39,78,63,112,38
40,78,114,112,35
41,78,97,112,16
42,78,99,112,31
43,78,59,112,50
44,78,104,112,43
45,78,48,112,34
46,78,102,112,63
47,78,24,112,48
48,78,22,112,12
49,78,32,112,44
50,78,34,112,48
51,78,69,112,65
52,78,16,112,39
53,78,57,112,32
54,78,73,112,19
55,78,54,112,41
56,78,19,112,23
57,78,28,112,29
58,78,101,112,36
59,78,87,112,53
60,78,27,112,62
61,78,77,112,26
62,78,111,112,33
63,78,96,112,21
64,78,71,112,59
65,78,53,112,14
66,78,45,112,22
67,78,61,112,49
68,78,25,112,60
69,78,65,112,40
70,78,50,112,36
71,78,91,112,61
72,78,106,112,44
73,78,41,112,37
74,78,15,112,58
75,78,37,112,67
76,78,29,112,39
77,78,75,112,57
78,78,70,112,39
79,78,113,112,15
80,78,47,112,47
81,78,36,112,31
82,78,74,112,48
83,78,89,112,38
84,78,100,112,42
85,78,20,112,45
86,78,46,112,32
87,78,79,112,31
88,78,67,112,17
89,78,94,112,56
90,78,95,112,35
91,78,85,112,44
92,78,43,112,27
93,78,23,112,61
94,78,68,112,34
95,78,17,112,48
96,78,76,112,40
97,78,55,112,27
98,78,66,112,41
99,78,38,112,34
