,Origen,Destino,Remitir paquete a,Peso
0,21,57,53,42
1,21,17,53,31
2,21,47,20,31
3,21,33,20,23
4,21,34,20,22
5,21,39,53,18
6,21,31,20,28
7,21,16,20,32
8,21,51,20,25
9,21,32,53,26
10,21,49,53,24
11,21,62,53,29
12,21,45,20,15
13,21,24,20,37
14,21,42,20,28
15,21,54,53,18
16,21,60,53,23
17,21,35,53,17
18,21,52,53,27
19,21,59,53,29
20,21,53,53,10
21,21,36,53,35
22,21,50,20,14
23,21,26,20,25
24,21,56,20,21
25,21,19,20,34
26,21,28,53,44
27,21,61,53,54
28,21,58,53,32
29,21,63,53,20
30,21,20,20,11
31,21,38,53,45
32,21,41,20,35
33,21,37,53,21
34,21,18,53,45
35,21,40,20,37
36,21,44,20,45
37,21,55,20,17
38,21,65,20,20
39,21,27,53,20
40,21,46,20,26
41,21,15,53,18
42,21,22,20,25
43,21,25,20,16
44,21,48,20,33
45,21,23,53,30
46,21,29,20,42
47,21,30,20,51
48,21,64,53,26
49,21,43,53,23
