,Origen,Destino,Remitir paquete a,Peso
0,33,44,25,17
1,33,63,55,26
2,33,27,55,19
3,33,26,55,19
4,33,19,25,31
5,33,64,55,14
6,33,32,55,35
7,33,25,25,8
8,33,17,25,14
9,33,58,25,13
10,33,48,25,35
11,33,52,38,42
12,33,53,25,10
13,33,18,55,27
14,33,16,55,21
15,33,23,38,55
16,33,21,38,31
17,33,56,55,22
18,33,57,55,37
19,33,51,55,28
20,33,36,25,16
21,33,47,25,38
22,33,37,38,20
23,33,50,25,26
24,33,24,55,30
25,33,35,55,24
26,33,43,25,27
27,33,15,38,14
28,33,29,55,35
29,33,46,55,31
30,33,39,55,37
31,33,28,55,25
32,33,42,25,39
33,33,22,55,31
34,33,49,55,41
35,33,59,25,14
36,33,38,38,7
37,33,45,55,45
38,33,62,38,68
39,33,54,55,38
40,33,40,55,39
41,33,34,38,44
42,33,31,55,15
43,33,41,55,33
44,33,55,55,10
45,33,65,25,53
46,33,20,55,37
47,33,61,38,47
48,33,30,55,29
49,33,60,55,46
