,Origen,Destino,Remitir paquete a,Peso
0,76,70,20,23
1,76,104,20,9
2,76,46,20,23
3,76,18,73,22
4,76,24,20,38
5,76,89,20,25
6,76,99,73,18
7,76,37,73,30
8,76,42,20,27
9,76,50,20,9
10,76,48,73,17
11,76,29,73,32
12,76,66,73,31
13,76,20,20,7
14,76,97,20,9
15,76,47,20,32
16,76,26,73,25
17,76,102,102,6
18,76,58,102,35
19,76,94,73,26
20,76,17,73,29
21,76,16,73,42
22,76,88,20,31
23,76,68,102,21
24,76,45,73,38
25,76,112,20,31
26,76,113,73,24
27,76,44,102,20
28,76,75,102,51
29,76,69,102,12
30,76,105,73,40
31,76,81,20,24
32,76,106,73,28
33,76,86,73,23
34,76,114,20,34
35,76,60,73,26
36,76,100,20,38
37,76,67,102,30
38,76,53,73,28
39,76,38,20,17
40,76,54,20,11
41,76,92,73,32
42,76,55,102,16
43,76,34,20,27
44,76,74,73,25
45,76,91,20,35
46,76,39,20,12
47,76,52,73,38
48,76,79,73,40
49,76,101,20,20
50,76,56,73,12
51,76,103,20,31
52,76,62,20,8
53,76,35,102,23
54,76,73,73,5
55,76,22,73,22
56,76,33,73,44
57,76,40,20,17
58,76,115,20,37
59,76,28,73,27
60,76,23,102,46
61,76,32,73,40
62,76,51,20,15
63,76,111,73,11
64,76,36,73,45
65,76,59,20,21
66,76,31,102,31
67,76,83,73,44
68,76,43,20,54
69,76,25,102,24
70,76,109,73,30
71,76,72,20,22
72,76,41,102,6
73,76,108,20,21
74,76,84,20,45
75,76,15,102,16
76,76,107,20,45
77,76,61,102,36
78,76,80,73,30
79,76,71,73,40
80,76,78,20,24
81,76,85,20,22
82,76,63,20,42
83,76,110,102,22
84,76,65,102,20
85,76,93,73,35
86,76,77,20,26
87,76,64,20,43
88,76,27,102,26
89,76,95,73,30
90,76,30,73,57
91,76,90,20,14
92,76,87,73,42
93,76,57,73,15
94,76,21,21,15
95,76,82,102,24
96,76,49,20,24
97,76,98,102,25
98,76,19,73,17
99,76,96,102,8
