,Origen,Destino,Remitir paquete a,Peso
0,21,57,53,37
1,21,17,53,26
2,21,47,20,46
3,21,33,20,37
4,21,34,20,37
5,21,39,53,13
6,21,31,20,37
7,21,16,20,41
8,21,51,20,39
9,21,32,53,21
10,21,49,53,18
11,21,62,53,23
12,21,45,20,29
13,21,24,20,52
14,21,42,20,44
15,21,54,53,15
16,21,60,53,18
17,21,35,53,12
18,21,52,53,22
19,21,59,53,24
20,21,53,53,10
21,21,36,53,30
22,21,50,20,28
23,21,26,20,39
24,21,56,20,37
25,21,19,20,48
26,21,28,53,39
27,21,61,53,43
28,21,58,53,27
29,21,63,53,29
30,21,20,20,15
31,21,38,53,36
32,21,41,20,52
33,21,37,53,21
34,21,18,53,40
35,21,40,20,51
36,21,44,20,59
37,21,55,20,40
38,21,65,20,34
39,21,27,53,20
40,21,46,20,40
41,21,15,53,15
42,21,22,20,39
43,21,25,20,30
44,21,48,20,41
45,21,23,53,36
46,21,29,20,50
47,21,30,20,66
48,21,64,53,23
49,21,43,53,29
