,Origen,Destino,Remitir paquete a,Peso
0,21,57,53,48
1,21,17,53,37
2,21,47,20,53
3,21,33,20,44
4,21,34,20,44
5,21,39,53,24
6,21,31,20,53
7,21,16,20,67
8,21,51,20,31
9,21,32,53,32
10,21,49,53,29
11,21,62,53,34
12,21,45,20,29
13,21,24,20,59
14,21,42,20,51
15,21,54,53,26
16,21,60,53,29
17,21,35,53,23
18,21,52,53,33
19,21,59,53,35
20,21,53,53,10
21,21,36,53,41
22,21,50,20,28
23,21,26,20,44
24,21,56,20,44
25,21,19,20,49
26,21,28,53,43
27,21,61,53,48
28,21,58,53,38
29,21,63,53,40
30,21,20,20,15
31,21,38,53,41
32,21,41,20,59
33,21,37,53,21
34,21,18,53,51
35,21,40,20,58
36,21,44,20,60
37,21,55,20,40
38,21,65,20,41
39,21,27,53,20
40,21,46,20,40
41,21,15,53,26
42,21,22,20,39
43,21,25,20,30
44,21,48,20,48
45,21,23,53,36
46,21,29,20,57
47,21,30,20,73
48,21,64,53,34
49,21,43,53,29
