,Origen,Destino,Remitir paquete a,Peso
0,33,44,25,18
1,33,63,55,25
2,33,27,55,19
3,33,26,55,21
4,33,19,25,29
5,33,64,55,18
6,33,32,55,30
7,33,25,25,10
8,33,17,25,31
9,33,58,25,29
10,33,48,25,35
11,33,52,38,39
12,33,53,25,23
13,33,18,55,32
14,33,16,55,23
15,33,23,38,40
16,33,21,38,33
17,33,56,55,33
18,33,57,55,47
19,33,51,55,39
20,33,36,25,19
21,33,47,25,41
22,33,37,38,25
23,33,50,25,41
24,33,24,55,44
25,33,35,55,14
26,33,43,25,46
27,33,15,38,16
28,33,29,55,31
29,33,46,55,29
30,33,39,55,27
31,33,28,55,25
32,33,42,25,50
33,33,22,55,25
34,33,49,55,52
35,33,59,25,46
36,33,38,38,12
37,33,45,55,39
38,33,62,38,49
39,33,54,55,25
40,33,40,55,36
41,33,34,38,38
42,33,31,55,20
43,33,41,55,31
44,33,55,55,9
45,33,65,25,53
46,33,20,55,35
47,33,61,38,39
48,33,30,55,20
49,33,60,55,36
