,Origen,Destino,Remitir paquete a,Peso
0,51,63,20,14
1,51,64,20,16
2,51,22,20,31
3,51,41,20,28
4,51,42,20,32
5,51,62,20,31
6,51,39,20,42
7,51,44,20,48
8,51,40,17,15
9,51,26,20,31
10,51,48,20,42
11,51,52,20,41
12,51,31,20,28
13,51,49,20,27
14,51,21,20,53
15,51,20,20,3
16,51,18,36,31
17,51,34,20,42
18,51,32,20,19
19,51,19,20,58
20,51,37,20,11
21,51,23,20,24
22,51,29,20,39
23,51,15,20,24
24,51,58,20,14
25,51,28,20,21
26,51,46,20,3
27,51,55,20,43
28,51,25,36,18
29,51,35,20,26
30,51,65,20,42
31,51,30,20,29
32,51,36,36,5
33,51,38,20,29
34,51,33,20,44
35,51,60,20,57
36,51,45,20,11
37,51,61,20,61
38,51,16,20,37
39,51,57,20,32
40,51,43,20,28
41,51,27,20,24
42,51,56,20,68
43,51,53,20,33
44,51,24,20,24
45,51,17,17,8
46,51,50,20,45
47,51,54,20,75
48,51,59,20,71
49,51,47,17,14
